catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
ca phosphate-cholecalciferol,minerals & electrolytes,calcium,calcium combinations,ca phosphate-cholecalciferol,rx_calciumrx_table
calcium acetate-magnesium carb,minerals & electrolytes,calcium,calcium combinations,calcium acetate-magnesium carb,rx_calciumrx_table
calcium carbonate-magnesium carbonate,minerals & electrolytes,calcium,calcium combinations,calcium acetate-magnesium carb,rx_calciumrx_table
calcium carb-cholecalciferol,minerals & electrolytes,calcium,calcium combinations,calcium carb-cholecalciferol,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium carb-cholecalciferol,rx_calciumrx_table
calcium carb-ergocalciferol,minerals & electrolytes,calcium,calcium combinations,calcium carb-ergocalciferol,rx_calciumrx_table
calcium carb-magnesium carb,minerals & electrolytes,calcium,calcium combinations,calcium carb-magnesium carb,rx_calciumrx_table
calcium carb-vit d-c-e-mineral,minerals & electrolytes,calcium,calcium combinations,calcium carb-vit d-c-e-mineral,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium carb-vit d-soy isoflav,rx_calciumrx_table
calcium carbonate-vit d-min,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vit d-min,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vit d-min,rx_calciumrx_table
multivitamin with minerals,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vit d-min,rx_calciumrx_table
calcium carbonate,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vitamin d,rx_calciumrx_table
calcium carbonate-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vitamin d,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vitamin d,rx_calciumrx_table
,minerals & electrolytes,calcium,calcium combinations,calcium carbonate-vitamin d,rx_calciumrx_table
calcium citrate,minerals & electrolytes,calcium,calcium combinations,calcium citrate-vitamin d,rx_calciumrx_table
calcium citrate-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium citrate-vitamin d,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium citrate-vitamin d,rx_calciumrx_table
calcium in bone mineral cmplx,minerals & electrolytes,calcium,calcium combinations,calcium in bone mineral cmplx,rx_calciumrx_table
calcium-boron,minerals & electrolytes,calcium,calcium combinations,calcium-boron,rx_calciumrx_table
calcium-cholecalciferol,minerals & electrolytes,calcium,calcium combinations,calcium-cholecalciferol,rx_calciumrx_table
calcium-ergocalciferol,minerals & electrolytes,calcium,calcium combinations,calcium-ergocalciferol,rx_calciumrx_table
calcium-mag-vit c-vit d,minerals & electrolytes,calcium,calcium combinations,calcium-mag-vit c-vit d,rx_calciumrx_table
calcium-magnesium,minerals & electrolytes,calcium,calcium combinations,calcium-magnesium,rx_calciumrx_table
calcium-magnesium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium-magnesium-vitamin d,rx_calciumrx_table
calcium-magnesium-zinc,minerals & electrolytes,calcium,calcium combinations,calcium-magnesium-zinc,rx_calciumrx_table
multivitamin with minerals,minerals & electrolytes,calcium,calcium combinations,calcium-magnesium-zinc,rx_calciumrx_table
calcium-phosphorus,minerals & electrolytes,calcium,calcium combinations,calcium-phosphorus,rx_calciumrx_table
calcium-phosphorus-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium-phosphorus-vitamin d,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium-phosphorus-vitamin d,rx_calciumrx_table
calcium-vit d-arg-inos-silicon,minerals & electrolytes,calcium,calcium combinations,calcium-vit d-arg-inos-silicon,rx_calciumrx_table
calcium-vitamin a-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium-vitamin a-vitamin d,rx_calciumrx_table
calcium-vitamin d,minerals & electrolytes,calcium,calcium combinations,calcium-vitamin d,rx_calciumrx_table
calcium-vitamin d-vitamin k,minerals & electrolytes,calcium,calcium combinations,calcium-vitamin d-vitamin k,rx_calciumrx_table
multivitamin with minerals,minerals & electrolytes,calcium,calcium combinations,calcium-vitamin d-vitamin k,rx_calciumrx_table
calcium-vitamins c & d,minerals & electrolytes,calcium,calcium combinations,calcium-vitamins c & d,rx_calciumrx_table
coral calcium-magnesium-vit d,minerals & electrolytes,calcium,calcium combinations,coral calcium-magnesium-vit d,rx_calciumrx_table
dolomite,minerals & electrolytes,calcium,calcium combinations,dolomite,rx_calciumrx_table
calcium gluconate-dextrose,minerals & electrolytes,calcium,calcium combinations,,rx_calciumrx_table
calcium gluconate-nacl,minerals & electrolytes,calcium,calcium combinations,,rx_calciumrx_table
calcium-iron-vit d-vit k,minerals & electrolytes,calcium,calcium combinations,,rx_calciumrx_table
imipenem-cilastatin,anti-infective agents - misc.,carbapenems,carbapenem combinations,imipenem-cilastatin,rx_carbapenems_table
doripenem,anti-infective agents - misc.,carbapenems,carbapenems,doripenem,rx_carbapenems_table
ertapenem,anti-infective agents - misc.,carbapenems,carbapenems,ertapenem sodium,rx_carbapenems_table
ertapenem sodium,anti-infective agents - misc.,carbapenems,carbapenems,ertapenem sodium,rx_carbapenems_table
meropenem,anti-infective agents - misc.,carbapenems,carbapenems,meropenem,rx_carbapenems_table
meropenem-sodium chloride,anti-infective agents - misc.,carbapenems,carbapenems,,rx_carbapenems_table
acetazolamide,diuretics,carbonic anhydrase inhibitors,carbonic anhydrase inhibitors,acetazolamide,rx_carbonic_anhydrase_i_table
acetazolamide sodium,diuretics,carbonic anhydrase inhibitors,carbonic anhydrase inhibitors,acetazolamide,rx_carbonic_anhydrase_i_table
acetazolamide,diuretics,carbonic anhydrase inhibitors,carbonic anhydrase inhibitors,acetazolamide sodium,rx_carbonic_anhydrase_i_table
acetazolamide sodium,diuretics,carbonic anhydrase inhibitors,carbonic anhydrase inhibitors,acetazolamide sodium,rx_carbonic_anhydrase_i_table
methazolamide,diuretics,carbonic anhydrase inhibitors,carbonic anhydrase inhibitors,methazolamide,rx_carbonic_anhydrase_i_table
dichlorphenamide,diuretics,carbonic anhydrase inhibitors,carbonic anhydrase inhibitors,,rx_carbonic_anhydrase_i_table
ziconotide,analgesics - nonnarcotic,analgesics-peptide channel blockers,selective n-type neuronal calcium channel blockers,ziconotide acetate,rx_ccbnonrate_table
ziconotide acetate,analgesics - nonnarcotic,analgesics-peptide channel blockers,selective n-type neuronal calcium channel blockers,ziconotide acetate,rx_ccbnonrate_table
,analgesics - nonnarcotic,analgesics-peptide channel blockers,selective n-type neuronal calcium channel blockers,ziconotide acetate,rx_ccbnonrate_table
amlodipine-valsartan-hctz,antihypertensives,antihypertensive combinations,angiotensin ii receptor ant-ca channel blocker-thiazides,amlodipine-valsartan-hctz,rx_ccbnonrate_table
amlodipine/hydrochlorothiazide/valsartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor ant-ca channel blocker-thiazides,amlodipine-valsartan-hctz,rx_ccbnonrate_table
amlodipine/hydrochlorothiaz/olmesartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor ant-ca channel blocker-thiazides,olmesartan-amlodipine-hctz,rx_ccbnonrate_table
olmesartan-amlodipine-hctz,antihypertensives,antihypertensive combinations,angiotensin ii receptor ant-ca channel blocker-thiazides,olmesartan-amlodipine-hctz,rx_ccbnonrate_table
amlodipine besylate-valsartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & ca channel blocker comb,amlodipine besylate-valsartan,rx_ccbnonrate_table
amlodipine-valsartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & ca channel blocker comb,amlodipine besylate-valsartan,rx_ccbnonrate_table
amlodipine-olmesartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & ca channel blocker comb,amlodipine-olmesartan,rx_ccbnonrate_table
amlodipine-telmisartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & ca channel blocker comb,telmisartan-amlodipine,rx_ccbnonrate_table
telmisartan-amlodipine,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & ca channel blocker comb,telmisartan-amlodipine,rx_ccbnonrate_table
amlodipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,amlodipine besylate,rx_ccbnonrate_table
amlodipine besylate,calcium channel blockers,calcium channel blockers,calcium channel blockers,amlodipine besylate,rx_ccbnonrate_table
clevidipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,clevidipine butyrate,rx_ccbnonrate_table
,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl,rx_ccbnonrate_table
felodipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,felodipine,rx_ccbnonrate_table
isradipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,isradipine,rx_ccbnonrate_table
nicardipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,nicardipine hcl,rx_ccbnonrate_table
nicardipine hcl,calcium channel blockers,calcium channel blockers,calcium channel blockers,nicardipine hcl,rx_ccbnonrate_table
nicardipine hcl in dextrose,calcium channel blockers,calcium channel blockers,calcium channel blockers,nicardipine hcl in dextrose,rx_ccbnonrate_table
nicardipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,nicardipine hcl in nacl,rx_ccbnonrate_table
nicardipine hcl in nacl,calcium channel blockers,calcium channel blockers,calcium channel blockers,nicardipine hcl in nacl,rx_ccbnonrate_table
nifedipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,nifedipine,rx_ccbnonrate_table
nimodipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,nimodipine,rx_ccbnonrate_table
nisoldipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,nisoldipine,rx_ccbnonrate_table
amlodipine benzoate,calcium channel blockers,calcium channel blockers,calcium channel blockers,,rx_ccbnonrate_table
clevidipine,calcium channel blockers,calcium channel blockers,calcium channel blockers,,rx_ccbnonrate_table
diltiazem,antidepressants,tricyclic agents,tricyclic agents,doxepin hcl,rx_ccbrate_table
trandolapril-verapamil,antihypertensives,antihypertensive combinations,ace inhibitor & calcium channel blocker combinations,trandolapril-verapamil hcl,rx_ccbrate_table
trandolapril-verapamil hcl,antihypertensives,antihypertensive combinations,ace inhibitor & calcium channel blocker combinations,trandolapril-verapamil hcl,rx_ccbrate_table
diltiazem,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl,rx_ccbrate_table
diltiazem hcl,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl,rx_ccbrate_table
diltiazem,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl coated beads,rx_ccbrate_table
diltiazem hcl coated beads,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl coated beads,rx_ccbrate_table
diltiazem,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl er beads,rx_ccbrate_table
diltiazem hcl er beads,calcium channel blockers,calcium channel blockers,calcium channel blockers,diltiazem hcl er beads,rx_ccbrate_table
diltiazem,calcium channel blockers,calcium channel blockers,calcium channel blockers,nisoldipine,rx_ccbrate_table
verapamil,calcium channel blockers,calcium channel blockers,calcium channel blockers,verapamil hcl,rx_ccbrate_table
verapamil hcl,calcium channel blockers,calcium channel blockers,calcium channel blockers,verapamil hcl,rx_ccbrate_table
diltiazem hcl-dextrose,calcium channel blockers,calcium channel blockers,calcium channel blockers,,rx_ccbrate_table
diltiazem hcl-sodium chloride,calcium channel blockers,calcium channel blockers,calcium channel blockers,,rx_ccbrate_table
diltiazem hcl,chemicals,bulk chemicals - d's,bulk chemicals - di's,diltiazem hcl,rx_ccbrate_table
diltiazem hcl,,,,,rx_ccbrate_table
diltiazem hcl coated beads,,,,,rx_ccbrate_table
verapamil hcl,,,,,rx_ccbrate_table
ceftazidime-avibactam,cephalosporins,cephalosporin combinations,cephalosporin combinations,ceftazidime-avibactam sodium,rx_cephalosporins_table
ceftolozane-tazobactam,cephalosporins,cephalosporin combinations,cephalosporin combinations,ceftolozane sulfate-tazobactam sodium,rx_cephalosporins_table
,cephalosporins,cephalosporin combinations,cephalosporin combinations,ceftolozane sulfate-tazobactam sodium,rx_cephalosporins_table
cefadroxil,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,cefadroxil,rx_cephalosporins_table
cefazolin,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,cefazolin sodium,rx_cephalosporins_table
cefazolin sodium,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,cefazolin sodium,rx_cephalosporins_table
cefazolin,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,cefazolin sodium-dextrose,rx_cephalosporins_table
cefazolin sodium-dextrose,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,cefazolin sodium-dextrose,rx_cephalosporins_table
cephalexin,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,cephalexin,rx_cephalosporins_table
cefazolin in sodium chloride,cephalosporins,cephalosporins - 1st generation,cephalosporins - 1st generation,,rx_cephalosporins_table
cefaclor,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefaclor,rx_cephalosporins_table
cefaclor,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefaclor monohydrate,rx_cephalosporins_table
cefaclor monohydrate,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefaclor monohydrate,rx_cephalosporins_table
cefotetan disodium,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefotetan disodium,rx_cephalosporins_table
cefoxitin,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefoxitin sodium,rx_cephalosporins_table
cefoxitin sodium,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefoxitin sodium,rx_cephalosporins_table
cefoxitin,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefoxitin sodium-dextrose,rx_cephalosporins_table
cefoxitin sodium-dextrose,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefoxitin sodium-dextrose,rx_cephalosporins_table
cefprozil,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefprozil,rx_cephalosporins_table
cefuroxime,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefuroxime axetil,rx_cephalosporins_table
cefuroxime axetil,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefuroxime axetil,rx_cephalosporins_table
cefuroxime in sterile water,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefuroxime in sterile water,rx_cephalosporins_table
cefuroxime,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefuroxime sodium,rx_cephalosporins_table
cefuroxime sodium,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefuroxime sodium,rx_cephalosporins_table
cefuroxime,cephalosporins,cephalosporins - 2nd generation,cephalosporins - 2nd generation,cefuroxime sodium-dextrose,rx_cephalosporins_table
cefdinir,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefdinir,rx_cephalosporins_table
cefditoren,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefditoren pivoxil,rx_cephalosporins_table
cefditoren pivoxil,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefditoren pivoxil,rx_cephalosporins_table
cefixime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefixime,rx_cephalosporins_table
cefotaxime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefotaxime sodium,rx_cephalosporins_table
cefotaxime sodium,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefotaxime sodium,rx_cephalosporins_table
cefpodoxime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefpodoxime proxetil,rx_cephalosporins_table
cefpodoxime proxetil,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,cefpodoxime proxetil,rx_cephalosporins_table
ceftazidime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime,rx_cephalosporins_table
,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime,rx_cephalosporins_table
ceftazidime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime and dextrose,rx_cephalosporins_table
ceftazidime and dextrose,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime and dextrose,rx_cephalosporins_table
ceftazidime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime sodium in d5w,rx_cephalosporins_table
ceftazidime sodium in d5w,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime sodium in d5w,rx_cephalosporins_table
ceftazidime,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftazidime sodium in dextrose,rx_cephalosporins_table
ceftibuten,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftibuten,rx_cephalosporins_table
ceftriaxone,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftriaxone sodium,rx_cephalosporins_table
ceftriaxone sodium,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftriaxone sodium,rx_cephalosporins_table
ceftriaxone sodium in dextrose,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftriaxone sodium in dextrose,rx_cephalosporins_table
ceftriaxone,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftriaxone sodium-dextrose,rx_cephalosporins_table
ceftriaxone sodium-dextrose,cephalosporins,cephalosporins - 3rd generation,cephalosporins - 3rd generation,ceftriaxone sodium-dextrose,rx_cephalosporins_table
cefepime,cephalosporins,cephalosporins - 4th generation,cephalosporins - 4th generation,cefepime hcl,rx_cephalosporins_table
cefepime hcl,cephalosporins,cephalosporins - 4th generation,cephalosporins - 4th generation,cefepime hcl,rx_cephalosporins_table
,cephalosporins,cephalosporins - 4th generation,cephalosporins - 4th generation,cefepime hcl,rx_cephalosporins_table
cefepime,cephalosporins,cephalosporins - 4th generation,cephalosporins - 4th generation,cefepime-dextrose,rx_cephalosporins_table
cefepime-dextrose,cephalosporins,cephalosporins - 4th generation,cephalosporins - 4th generation,cefepime-dextrose,rx_cephalosporins_table
ceftaroline fosamil,cephalosporins,cephalosporins - 5th generation,cephalosporins - 5th generation,ceftaroline fosamil,rx_cephalosporins_table
clonidine,adhd/anti-narcolepsy/anti-obesity/anorexiants,attention-deficit/hyperactivity disorder (adhd) agents,adhd agent - selective alpha adrenergic agonists,clonidine hcl,rx_clonidine_table
clonidine hcl,adhd/anti-narcolepsy/anti-obesity/anorexiants,attention-deficit/hyperactivity disorder (adhd) agents,adhd agent - selective alpha adrenergic agonists,clonidine hcl,rx_clonidine_table
clonidine,analgesics - nonnarcotic,analgesics other,analgesics other,clonidine hcl (analgesia),rx_clonidine_table
clonidine hcl (analgesia),analgesics - nonnarcotic,analgesics other,analgesics other,clonidine hcl (analgesia),rx_clonidine_table
clonidine,antihypertensives,antiadrenergic antihypertensives,antiadrenergics - centrally acting,clonidine hcl,rx_clonidine_table
clonidine hcl,antihypertensives,antiadrenergic antihypertensives,antiadrenergics - centrally acting,clonidine hcl,rx_clonidine_table
clonidine,antihypertensives,antiadrenergic antihypertensives,antiadrenergics - centrally acting,,rx_clonidine_table
clonidine-chlorthalidone,antihypertensives,antihypertensive combinations,adrenolytics-central & thiazide/thiazide-like comb,clonidine-chlorthalidone,rx_clonidine_table
apraclonidine hcl,ophthalmic agents,ophthalmic adrenergic agents,ophthalmic selective alpha adrenergic agonists,apraclonidine hcl,rx_clonidine_table
apraclonidine ophthalmic,ophthalmic agents,ophthalmic adrenergic agents,ophthalmic selective alpha adrenergic agonists,apraclonidine hcl,rx_clonidine_table
clonidine hcl,,,,,rx_clonidine_table
desogestrel-ethinyl estradiol,contraceptives,combination contraceptives - oral,biphasic contraceptives - oral,desogestrel-ethinyl estradiol,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,biphasic contraceptives - oral,norethin-eth estrad biphasic,rx_contraceptives_table
norethin-eth estrad biphasic,contraceptives,combination contraceptives - oral,biphasic contraceptives - oral,norethin-eth estrad biphasic,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,biphasic contraceptives - oral,norethin-eth estrad-fe biphas,rx_contraceptives_table
norethin-eth estrad-fe biphas,contraceptives,combination contraceptives - oral,biphasic contraceptives - oral,norethin-eth estrad-fe biphas,rx_contraceptives_table
desogestrel-ethinyl estradiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,desogestrel-ethinyl estradiol,rx_contraceptives_table
drospiren-eth estrad-levomefol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,drospiren-eth estrad-levomefol,rx_contraceptives_table
drospirenone/ethinyl estradiol/levomefolate,contraceptives,combination contraceptives - oral,combination contraceptives - oral,drospiren-eth estrad-levomefol,rx_contraceptives_table
drospirenone-ethinyl estradiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,drospirenone-ethinyl estradiol,rx_contraceptives_table
ethinyl estradiol-ethynodiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,ethynodiol diac-eth estradiol,rx_contraceptives_table
ethynodiol diac-eth estradiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,ethynodiol diac-eth estradiol,rx_contraceptives_table
ethinyl estradiol-levonorgestrel,contraceptives,combination contraceptives - oral,combination contraceptives - oral,levonorgestrel-ethinyl estrad,rx_contraceptives_table
levonorgestrel-ethinyl estrad,contraceptives,combination contraceptives - oral,combination contraceptives - oral,levonorgestrel-ethinyl estrad,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethin ace-eth estrad-fe,rx_contraceptives_table
norethin ace-eth estrad-fe,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethin ace-eth estrad-fe,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethin-eth estradiol-fe,rx_contraceptives_table
norethin-eth estradiol-fe,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethin-eth estradiol-fe,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethindrone acet-ethinyl est,rx_contraceptives_table
norethindrone acet-ethinyl est,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethindrone acet-ethinyl est,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethindrone-eth estradiol,rx_contraceptives_table
norethindrone-eth estradiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethindrone-eth estradiol,rx_contraceptives_table
mestranol-norethindrone,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethindrone-mestranol,rx_contraceptives_table
norethindrone-mestranol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norethindrone-mestranol,rx_contraceptives_table
ethinyl estradiol-norgestimate,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norgestimate-eth estradiol,rx_contraceptives_table
norgestimate-eth estradiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norgestimate-eth estradiol,rx_contraceptives_table
ethinyl estradiol-norgestrel,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norgestrel-ethinyl estradiol,rx_contraceptives_table
norgestrel-ethinyl estradiol,contraceptives,combination contraceptives - oral,combination contraceptives - oral,norgestrel-ethinyl estradiol,rx_contraceptives_table
levonorgest-eth estrad-fe bisg,contraceptives,combination contraceptives - oral,combination contraceptives - oral,,rx_contraceptives_table
levonorgestrel-eth estrad & fa,contraceptives,combination contraceptives - oral,combination contraceptives - oral,,rx_contraceptives_table
ethinyl estradiol-levonorgestrel,contraceptives,combination contraceptives - oral,continuous contraceptives - oral,levonorgestrel-ethinyl estrad,rx_contraceptives_table
levonorgestrel-ethinyl estrad,contraceptives,combination contraceptives - oral,continuous contraceptives - oral,levonorgestrel-ethinyl estrad,rx_contraceptives_table
ethinyl estradiol-levonorgestrel,contraceptives,combination contraceptives - oral,extended-cycle contraceptives - oral,levonorgest-eth estrad 91-day,rx_contraceptives_table
levonorgest-eth estrad 91-day,contraceptives,combination contraceptives - oral,extended-cycle contraceptives - oral,levonorgest-eth estrad 91-day,rx_contraceptives_table
dienogest-estradiol,contraceptives,combination contraceptives - oral,four phase contraceptives - oral,estradiol valerate-dienogest,rx_contraceptives_table
estradiol valerate-dienogest,contraceptives,combination contraceptives - oral,four phase contraceptives - oral,estradiol valerate-dienogest,rx_contraceptives_table
desogestrel-ethinyl estradiol,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,desogestrel-ethinyl estradiol,rx_contraceptives_table
ethinyl estradiol-levonorgestrel,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,levonorg-eth estrad triphasic,rx_contraceptives_table
levonorg-eth estrad triphasic,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,levonorg-eth estrad triphasic,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,norethin-eth estrad triphasic,rx_contraceptives_table
norethin-eth estrad triphasic,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,norethin-eth estrad triphasic,rx_contraceptives_table
ethinyl estradiol-norethindrone,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,norethindron-ethinyl estrad-fe,rx_contraceptives_table
norethindron-ethinyl estrad-fe,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,norethindron-ethinyl estrad-fe,rx_contraceptives_table
ethinyl estradiol-norgestimate,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,norgestim-eth estrad triphasic,rx_contraceptives_table
norgestim-eth estrad triphasic,contraceptives,combination contraceptives - oral,triphasic contraceptives - oral,norgestim-eth estrad triphasic,rx_contraceptives_table
ethinyl estradiol-norelgestromin,contraceptives,combination contraceptives - transdermal,combination contraceptives - transdermal,norelgestromin-eth estradiol,rx_contraceptives_table
norelgestromin-eth estradiol,contraceptives,combination contraceptives - transdermal,combination contraceptives - transdermal,norelgestromin-eth estradiol,rx_contraceptives_table
levonorgestrel-eth estradiol,contraceptives,combination contraceptives - transdermal,combination contraceptives - transdermal,,rx_contraceptives_table
ethinyl estradiol-etonogestrel,contraceptives,combination contraceptives - vaginal,combination contraceptives - vaginal,etonogestrel-ethinyl estradiol,rx_contraceptives_table
etonogestrel-ethinyl estradiol,contraceptives,combination contraceptives - vaginal,combination contraceptives - vaginal,etonogestrel-ethinyl estradiol,rx_contraceptives_table
segesterone-ethinyl estradiol,contraceptives,combination contraceptives - vaginal,combination contraceptives - vaginal,,rx_contraceptives_table
levonorgestrel,contraceptives,emergency contraceptives,emergency contraceptives,levonorgestrel,rx_contraceptives_table
ulipristal acetate,contraceptives,emergency contraceptives,emergency contraceptives,ulipristal acetate,rx_contraceptives_table
etonogestrel,contraceptives,progestin contraceptives - implants,progestin contraceptives - implants,etonogestrel,rx_contraceptives_table
medroxyprogesterone,contraceptives,progestin contraceptives - injectable,progestin contraceptives - injectable,medroxyprogesterone acetate,rx_contraceptives_table
medroxyprogesterone acetate,contraceptives,progestin contraceptives - injectable,progestin contraceptives - injectable,medroxyprogesterone acetate,rx_contraceptives_table
levonorgestrel,contraceptives,progestin contraceptives - iud,progestin contraceptives - iud,levonorgestrel,rx_contraceptives_table
norethindrone,contraceptives,progestin contraceptives - oral,progestin contraceptives - oral,norethindrone,rx_contraceptives_table
drospirenone,contraceptives,progestin contraceptives - oral,progestin contraceptives - oral,,rx_contraceptives_table
